event_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius
348,1213.81451234,power_plant,6
349,107.16027889,industrial_works,5
350,,,0
351,,,0
352,,,0
353,,,0
354,,,0
355,,,0
356,,,0
357,,,0
358,,,0
359,,,0
360,,,0
361,,,0
362,,,0
363,,,0
364,,,0
365,,,0
366,,,0
367,,,0
368,,,0
369,,,0
370,,,0
371,,,0
372,,,0
373,,,0
374,,,0
375,409.92950536,power_plant,2
376,1268.1981802,industrial_area,1
377,489.09116503,power_plant,1
378,151.55914198,power_plant,2
379,685.95915235,power_plant,2
380,,,0
381,3456.10892097,industrial_works,3
382,1466.98515054,industrial_area,15
383,,,0
384,,,0
385,,,0
386,,,0
387,,,0
388,436.39538705,industrial_area,1
389,,,0
390,,,0
391,,,0
392,,,0
393,802.94645453,industrial_area,3
394,687.20287752,power_plant,2
395,838.44407207,power_plant,2
396,618.06809572,power_plant,2
397,248.00511545,power_plant,2
398,713.75842953,power_plant,2
399,855.85710442,power_plant,2
400,775.89107904,power_plant,2
401,926.95967191,power_plant,2
402,590.09792708,power_plant,2
403,,,0
404,,,0
405,,,0
406,,,0
407,,,0
408,,,0
409,,,0
410,,,0
411,779.88853903,industrial_area,5
412,,,0
413,,,0
414,276.00892831,power_plant,2
415,4313.57302372,industrial_works,1
416,4657.15321025,industrial_works,1
417,,,0
418,,,0
419,307.01703565,industrial_area,3
420,,,0
421,328.29570819,industrial_area,29
422,1124.63765821,industrial_area,39
423,1439.05084532,industrial_area,18
424,1577.35794341,industrial_area,11
425,673.47844448,industrial_area,8
426,1055.25864261,industrial_area,8
427,708.453018,power_plant,2
428,477.42971007,power_plant,2
429,,,0
430,,,0
431,,,0
432,,,0
433,,,0
434,,,0
435,,,0
436,,,0
437,,,0
438,,,0
439,,,0
440,503.34269064,industrial_works,7
441,,,0
442,,,0
443,,,0
444,,,0
445,,,0
446,,,0
447,,,0
448,,,0
449,,,0
450,,,0
451,,,0
452,,,0
453,576.79683826,industrial_area,47
454,588.50255535,power_plant,6
455,55.04375279,industrial_area,33
456,665.28285155,industrial_area,31
457,53.08112964,industrial_area,5
458,325.40370927,industrial_area,5
459,2829.89002108,industrial_area,17
460,1129.51390358,industrial_area,19
461,2534.40798292,power_plant,2
462,2164.72991363,power_plant,2
463,124.59155025,industrial_area,2
464,1144.64517747,industrial_area,1
465,644.82740234,power_plant,1
466,197.72287041,power_plant,2
467,575.72571882,power_plant,1
468,3215.15854988,industrial_area,1
469,736.11498964,industrial_area,20
470,166.9916354,industrial_area,4
471,463.73425479,power_plant,4
472,442.74796106,power_plant,4
473,316.30213912,industrial_area,4
474,378.2729252,industrial_area,10
475,433.2545441,industrial_area,1
476,398.78350144,industrial_area,1
477,,,0
478,,,0
479,,,0
480,,,0
481,,,0
482,,,0
483,,,0
484,,,0
485,,,0
486,,,0
487,178.10425782,industrial_area,1
488,325.02237933,industrial_area,6
489,1111.86995638,industrial_works,7
490,821.21490533,industrial_works,6
491,30.08669654,industrial_area,2
