event_id,latitude,longitude,event_date,event_time,confidence,bright_ti4,bright_ti5,frp,daynight,cluster_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius,total_detections,active_days,cluster_mean_frp,cluster_max_frp,persistence_score,ndvi_mean,ndbi_mean,ndwi_mean,swir1_mean,swir2_mean,valid_pixel_fraction
2142,8.06541,80.3713,2026-09-12,07:44:00,n,337.07,298.56,5.89,D,,,,0,1.0,1.0,,,0.0,0.4293208558044895,-0.0239472769651463,-0.4622584757045009,0.2877763950058651,0.1854999681923961,0.76123046875
2143,8.07677,81.39046,2026-09-12,07:44:00,n,331.16,297.87,6.36,D,,4489.22742803,industrial_area,2,1.0,1.0,,,0.0,0.4744525048608474,0.0033598906969588,-0.5124017680670704,0.3118236329282808,0.2094437254863805,1.0
2144,8.07846,81.00792,2026-09-12,07:44:00,n,336.92,295.54,4.48,D,,,,0,1.0,1.0,,,0.0,0.6327694032901506,-0.2621288506207533,-0.5824276343441612,0.2154233641667815,0.121375610364339,1.0
2149,8.11133,81.11934,2026-09-12,07:44:00,n,336.64,300.03,5.87,D,,,,0,1.0,1.0,,,0.0,0.3670802581592575,0.0101461243810475,-0.4513453811741513,0.349406933553837,0.225725854207667,1.0
2150,8.11358,80.10298,2026-09-12,07:44:00,n,344.08,300.1,8.01,D,,,,0,1.0,1.0,,,0.0,0.4647850907425954,-0.0013851534035755,-0.5152158094228841,0.3074223599271125,0.19298674328186,0.552490234375
2151,8.13032,80.07694,2026-09-12,07:44:00,n,338.94,297.61,3.86,D,,,,0,1.0,1.0,,,0.0,0.5532000060494665,-0.0827819614961614,-0.5470312145357097,0.283935633180368,0.1677286764332915,0.431640625
2152,8.16267,80.15137,2026-09-12,07:44:00,n,332.25,298.59,3.69,D,,,,0,1.0,1.0,,,0.0,0.4450649866506439,-0.0406879841231053,-0.5057487715790991,0.3227237679231151,0.2049186296967178,0.926513671875
2156,8.18844,80.27067,2026-09-12,07:44:00,n,339.59,298.15,5.4,D,,,,0,1.0,1.0,,,0.0,0.562376924035829,-0.1156489794407642,-0.5674283395775956,0.2596709961471788,0.15425983887053,1.0
2164,8.22505,80.45264,2026-09-12,07:44:00,n,336.41,298.74,7.72,D,,2719.86625495,power_plant,1,1.0,1.0,,,0.0,0.4444736283099876,0.0084974572757137,-0.5194572074051279,0.296051929601847,0.1860907278304673,0.942626953125
2165,8.23053,81.10403,2026-09-12,07:44:00,n,331.8,300.8,5.66,D,,,,0,1.0,1.0,,,0.0,0.4682781268262608,-0.1130208657805617,-0.4997197227502388,0.2757034912056042,0.1702471679654991,1.0
2169,8.25925,80.29769,2026-09-12,07:44:00,n,335.71,296.79,2.43,D,,,,0,1.0,1.0,,,0.0,0.4523941404671995,-0.0432859375153761,-0.4963992886697218,0.3000090321269203,0.188182961854461,0.83251953125
2170,8.28667,80.77976,2026-09-12,07:44:00,n,334.09,298.88,4.71,D,,,,0,1.0,1.0,,,0.0,0.4232093737525623,0.0166263764744591,-0.5137373598468215,0.3027586078083296,0.191324635775216,0.90478515625
2173,8.30045,80.72736,2026-09-12,07:44:00,n,341.34,298.23,7.08,D,,,,0,1.0,1.0,,,0.0,0.4120762398297539,-0.0126621365043701,-0.5044789921818529,0.32068281224565,0.2050088379419321,1.0
2174,8.30267,80.27724,2026-09-12,07:44:00,n,334.43,297.12,4.2,D,,,,0,1.0,1.0,,,0.0,0.4424021621861947,0.0023071400070656,-0.5021486627143347,0.3157225096500734,0.2000452107054063,0.7646484375
2175,8.31892,77.59275,2026-09-12,07:44:00,n,330.58,298.47,2.22,D,,1096.5324634,industrial_area,11,1.0,1.0,,,0.0,0.3397880276710052,0.0191290369365713,-0.4404210537830034,0.2983578367679911,0.2125782225880357,1.0
2176,8.33177,81.01419,2026-09-12,07:44:00,n,330.4,294.94,9.29,D,,3875.74641036,industrial_area,1,1.0,1.0,,,0.0,0.2505728452006066,0.0610561343504913,-0.3826471789051492,0.3938473874441115,0.2716373533185106,1.0
