ndvi_mean,ndbi_mean,ndwi_mean,swir1_mean,swir2_mean,valid_pixel_fraction,event_id
0.34138944992414455,0.11154794159579044,-0.4445910464690034,0.3981897543758614,0.2909942575556747,0.965087890625,1
0.3506268116399895,0.10097724199425673,-0.4445917310272687,0.3831973690972287,0.2814583264201621,0.872314453125,2
0.4715572757449392,-0.03604727260728713,-0.4978433748342644,0.29804929309628075,0.2000420455157644,0.966796875,3
0.35886388036842776,0.06611307304366244,-0.44170493158735025,0.3394646727288091,0.23486247547452876,1.0,4
0.4536839184258477,-0.006034065649661538,-0.5040192409521256,0.296236840687925,0.18170358885072346,1.0,7
0.42671114281974043,-0.018553251209121477,-0.4772477173731177,0.29250804184004664,0.19894970840619255,0.5859375,8
0.3268687451353579,0.0738402942274518,-0.42789316285416695,0.3093789794747863,0.22465837387881038,1.0,9
0.491405473652774,-0.08396949480317474,-0.5145066476730975,0.2865953063250196,0.1867370746903071,0.35888671875,13
0.4556886813261597,-0.025261503947479585,-0.47532319140817103,0.2695673585340046,0.19416738292420632,1.0,14
0.6145971981775362,-0.14376712430227168,-0.5382791498098417,0.2198443847219096,0.1303385986207104,1.0,25
0.2843379986595491,-0.0855987339094185,-0.2602458651776281,0.20662141126558708,0.17604477537315688,1.0,26
0.7928635030598501,-0.3731647485389784,-0.7266565266623756,0.18015207506505249,0.10175244141282747,1.0,30
0.3528481537299333,0.014994398353300863,-0.42909720136414964,0.3288906918903061,0.22117833588793998,0.5927734375,42
0.4277093531241761,0.001652610841887971,-0.48687038644290065,0.30984889943283417,0.20825068419716106,0.82080078125,44
0.28314073737494816,0.06476394371190658,-0.38401480428643214,0.31586308583609934,0.24684355471072195,1.0,48
0.2717113029586629,0.15382215062459514,-0.3460066331453213,0.32501433109064237,0.2481175049997546,1.0,50
0.2049850271529918,0.04096000308652821,-0.2593570629568331,0.20756864502927094,0.17470640387154798,0.625244140625,53
0.24647565405147004,0.12925650766429472,-0.34402104861849664,0.3190820744733303,0.27326943931665254,0.927490234375,54
0.33517318013376773,0.05320579976634569,-0.3904292231869818,0.2902989221547178,0.21700718570612149,0.203857421875,62
0.3516418129870974,0.09389077614051447,-0.3962071068247576,0.27073917093229144,0.2037668349075327,0.918701171875,63
0.39189404715378545,-0.003798899772642316,-0.427692982922167,0.2963775340824911,0.21519315048848112,0.089111328125,65
0.18098126394977748,-0.02778502360950672,-0.21616362875347972,0.28352609872308676,0.22737734389374964,1.0,74
0.13225733795788208,0.08702477487721305,-0.22398921719999448,0.454581567326386,0.37978205557737965,1.0,75
0.4240125697385504,-0.1607603167949435,-0.42253601766847015,0.23980664071495994,0.16065012210492569,1.0,78
0.12345660575294842,0.032828869201274216,-0.20918791076217075,0.3176346434547668,0.24880004879923945,1.0,83
0.1870407773883101,0.011258447719597607,-0.23404611065943884,0.28983942860213574,0.24031457520140975,1.0,84
0.4368148728965028,-0.09823546612190762,-0.4536244248598225,0.2739230712850258,0.20682446283171885,1.0,85
0.3603132308379988,-0.007190622312613598,-0.42595326673635153,0.3274395507396548,0.2382585205741634,1.0,86
0.5444499741722731,-0.18003622660809854,-0.5316628611131019,0.23766276856622426,0.15329921883130737,1.0,89
0.1789592859970811,0.19258882616130812,-0.23252130512950836,0.21682453607172647,0.18160075683772448,1.0,90
0.2324520743433872,0.056787123609963734,-0.3080577117440887,0.3540025523922465,0.2677594594232313,0.16259765625,91
0.42412512187855056,-0.0701656217512221,-0.3571612204190057,0.1710401447842007,0.11364018505218881,0.60693359375,139
0.46897436197644077,-0.17273718146832556,-0.3529930473070917,0.18471873987768817,0.10949867320668638,0.147216796875,142
0.2881295787459868,-0.07587044592955812,-0.20199000023975655,0.15283066304259063,0.09619447511642687,0.353515625,143
0.41685176235827054,-0.38092523374066095,-0.34546869117076884,0.0892717396111592,0.05275217443704605,0.01123046875,152
0.37313153842474056,0.07290693143313168,-0.4116141193341195,0.30142604161093955,0.21839546360155587,0.7265625,157
0.3916587194569297,0.07488997131890363,-0.4680658831609397,0.31453898948893766,0.2326305175492962,1.0,162
0.7246459862475817,-0.22826342302440816,-0.6559212642099495,0.22814537230140233,0.11822804446198,0.350830078125,163
0.631636386911836,-0.20659958539442044,-0.561037659718008,0.2453269827286075,0.1369126672203337,0.237060546875,165
0.40173516674148935,0.01600495289545763,-0.47707780678233536,0.31524167080288346,0.23352010246379,0.99951171875,168
0.3786657549489149,0.02904013420932267,-0.4195618309369636,0.3369206544066401,0.25643500956903154,1.0,170
0.5676957477405189,-0.17550328536818322,-0.5011095969128865,0.22556635739420017,0.14130178222603718,1.0,171
